Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
RV4,R_Potentiometer_Trim_US,Potentiometer_Bourns_TC33X_Vertical,47.42758,19.590161,-157.5,bottom
RV5,R_Potentiometer_Trim_US,Potentiometer_Bourns_TC33X_Vertical,51.3142,-0.0508,180,bottom
RV6,R_Potentiometer_Trim_US,Potentiometer_Bourns_TC33X_Vertical,47.388699,-19.684027,157.5,bottom
RV7,R_Potentiometer_Trim_US,Potentiometer_Bourns_TC33X_Vertical,36.248698,-36.32054,135,bottom
RV8,R_Potentiometer_Trim_US,Potentiometer_Bourns_TC33X_Vertical,19.590161,-47.42758,112.5,bottom
RV9,R_Potentiometer_Trim_US,Potentiometer_Bourns_TC33X_Vertical,-0.0508,-51.3142,90,bottom
RV10,R_Potentiometer_Trim_US,Potentiometer_Bourns_TC33X_Vertical,-19.684027,-47.388699,67.5,bottom
RV11,R_Potentiometer_Trim_US,Potentiometer_Bourns_TC33X_Vertical,-36.32054,-36.248698,45,bottom
RV12,R_Potentiometer_Trim_US,Potentiometer_Bourns_TC33X_Vertical,-47.42758,-19.590161,22.5,bottom
RV13,R_Potentiometer_Trim_US,Potentiometer_Bourns_TC33X_Vertical,-51.3142,0.0508,0,bottom
RV14,R_Potentiometer_Trim_US,Potentiometer_Bourns_TC33X_Vertical,-47.388699,19.684027,-22.5,bottom
RV15,R_Potentiometer_Trim_US,Potentiometer_Bourns_TC33X_Vertical,-36.248698,36.32054,-45,bottom
RV16,R_Potentiometer_Trim_US,Potentiometer_Bourns_TC33X_Vertical,-19.590161,47.427579,-67.5,bottom
U1,CD74HC4067SM,SSOP-24_5.3x8.2mm_P0.65mm,0.0322,44.3356,180,bottom
