Ref,Val,Package,PosX,PosY,Rot,Side
"R36","R","R_0603_1608Metric",50.962369,18.180673,19.687500,bottom
"R37","R","R_0603_1608Metric",54.040532,-2.705703,-2.812500,bottom
"R38","R","R_0603_1608Metric",48.891514,-23.180160,-25.312500,bottom
"R39","R","R_0603_1608Metric",36.299206,-40.125648,-47.812500,bottom
"R40","R","R_0603_1608Metric",18.180673,-50.962370,-70.312500,bottom
"R41","R","R_0603_1608Metric",-2.705703,-54.040533,-92.812500,bottom
"R42","R","R_0603_1608Metric",-23.180160,-48.891515,-115.312500,bottom
"R43","R","R_0603_1608Metric",-40.125648,-36.299207,-137.812500,bottom
"R44","R","R_0603_1608Metric",-50.962370,-18.180674,-160.312500,bottom
"R45","R","R_0603_1608Metric",-54.040533,2.705702,177.187500,bottom
"R46","R","R_0603_1608Metric",-48.891515,23.180159,154.687500,bottom
"R47","R","R_0603_1608Metric",-36.299207,40.125647,132.187000,bottom
"R48","R","R_0603_1608Metric",-18.180674,50.962369,109.687500,bottom
"RV1","R_Potentiometer_Trim_US","Potentiometer_Bourns_TC33X_Vertical",0.050800,51.314200,-90.000000,bottom
"RV2","R_Potentiometer_Trim_US","Potentiometer_Bourns_TC33X_Vertical",19.684027,47.388699,-112.500000,bottom
"RV3","R_Potentiometer_Trim_US","Potentiometer_Bourns_TC33X_Vertical",36.320540,36.248698,-135.000000,bottom
"RV4","R_Potentiometer_Trim_US","Potentiometer_Bourns_TC33X_Vertical",47.427580,19.590161,-157.500000,bottom
"RV5","R_Potentiometer_Trim_US","Potentiometer_Bourns_TC33X_Vertical",51.314200,-0.050800,180.000000,bottom
"RV6","R_Potentiometer_Trim_US","Potentiometer_Bourns_TC33X_Vertical",47.388699,-19.684027,157.500000,bottom
"RV7","R_Potentiometer_Trim_US","Potentiometer_Bourns_TC33X_Vertical",36.248698,-36.320540,135.000000,bottom
"RV8","R_Potentiometer_Trim_US","Potentiometer_Bourns_TC33X_Vertical",19.590161,-47.427580,112.500000,bottom
"RV9","R_Potentiometer_Trim_US","Potentiometer_Bourns_TC33X_Vertical",-0.050800,-51.314200,90.000000,bottom
"RV10","R_Potentiometer_Trim_US","Potentiometer_Bourns_TC33X_Vertical",-19.684027,-47.388699,67.500000,bottom
"RV11","R_Potentiometer_Trim_US","Potentiometer_Bourns_TC33X_Vertical",-36.320540,-36.248698,45.000000,bottom
"RV12","R_Potentiometer_Trim_US","Potentiometer_Bourns_TC33X_Vertical",-47.427580,-19.590161,22.500000,bottom
"RV13","R_Potentiometer_Trim_US","Potentiometer_Bourns_TC33X_Vertical",-51.314200,0.050800,0.000000,bottom
"RV14","R_Potentiometer_Trim_US","Potentiometer_Bourns_TC33X_Vertical",-47.388699,19.684027,-22.500000,bottom
"RV15","R_Potentiometer_Trim_US","Potentiometer_Bourns_TC33X_Vertical",-36.248698,36.320540,-45.000000,bottom
"RV16","R_Potentiometer_Trim_US","Potentiometer_Bourns_TC33X_Vertical",-19.590161,47.427579,-67.500000,bottom
"U1","CD74HC4067SM","SSOP-24_5.3x8.2mm_P0.65mm",0.032200,44.335600,180.000000,bottom
